deal_id,vendedor,regiao,segmento,valor,status,data_criacao,data_fechamento,ciclo_dias
DEAL-0076,Diego Lima,Centro-Oeste,Enterprise,88472.28,Open,2023-08-22,2023-10-29,68
DEAL-0077,Ana Silva,Centro-Oeste,PME,5804.0,Open,2023-05-05,2023-06-07,33
DEAL-0078,Ana Silva,Nordeste,PME,80103.87,Open,2023-04-01,2023-07-27,117
DEAL-0079,Eva Martins,Nordeste,Mid-Market,72373.27,Won,2023-03-04,2023-05-16,73
DEAL-0080,Eva Martins,Centro-Oeste,Mid-Market,93834.59,Open,2023-06-12,2023-10-01,111
DEAL-0081,Carla Souza,Norte,Mid-Market,73827.79,Open,2023-08-17,2023-09-21,35
DEAL-0082,Bruno Costa,Sudeste,Enterprise,75266.57,Open,2023-05-22,2023-09-12,113
DEAL-0083,Carla Souza,Nordeste,PME,44398.69,Won,2023-02-09,2023-05-26,106
DEAL-0084,Bruno Costa,Sul,Enterprise,105622.72,Won,2023-03-12,2023-04-15,34
DEAL-0085,Bruno Costa,Centro-Oeste,Enterprise,65287.26,Lost,2023-07-28,2023-09-23,57
DEAL-0086,Eva Martins,Centro-Oeste,Enterprise,132695.22,Won,2023-10-27,2024-02-08,104
DEAL-0087,Diego Lima,Nordeste,Mid-Market,61548.06,Won,2023-01-04,2023-03-05,60
DEAL-0088,Bruno Costa,Sudeste,Enterprise,36978.11,Lost,2023-10-07,2024-02-01,117
DEAL-0089,Diego Lima,Norte,Enterprise,101986.67,Lost,2023-09-06,2023-09-24,18
DEAL-0090,Eva Martins,Nordeste,Mid-Market,136504.69,Lost,2023-03-07,2023-06-09,94
DEAL-0091,Diego Lima,Norte,PME,24676.43,Lost,2023-01-14,2023-02-08,25
DEAL-0092,Carla Souza,Centro-Oeste,Enterprise,70931.4,Won,2023-05-14,2023-07-16,63
DEAL-0093,Eva Martins,Sul,Enterprise,73194.49,Open,2023-08-04,2023-09-20,47
DEAL-0094,Ana Silva,Sul,PME,143806.41,Won,2023-04-25,2023-08-01,98
DEAL-0095,Diego Lima,Sul,Mid-Market,39589.02,Lost,2023-04-13,2023-04-30,17
DEAL-0096,Bruno Costa,Nordeste,Mid-Market,116200.22,Open,2023-04-22,2023-07-05,74
DEAL-0097,Ana Silva,Nordeste,PME,144884.51,Open,2023-02-28,2023-06-22,114
DEAL-0098,Diego Lima,Norte,PME,143935.06,Open,2023-06-09,2023-09-05,88
DEAL-0099,Carla Souza,Nordeste,PME,40213.16,Open,2023-10-31,2024-02-11,103
DEAL-0100,Carla Souza,Sul,Mid-Market,82248.06,Won,2023-10-17,2024-02-09,115
DEAL-0101,Diego Lima,Sul,Enterprise,65908.52,Won,2023-11-28,2024-01-25,58
DEAL-0102,Bruno Costa,Centro-Oeste,PME,71662.21,Open,2023-07-05,2023-10-09,96
DEAL-0103,Eva Martins,Centro-Oeste,Enterprise,122188.89,Won,2023-09-25,2024-01-01,98
DEAL-0104,Bruno Costa,Sul,Enterprise,43917.35,Open,2023-08-12,2023-12-10,120
DEAL-0105,Diego Lima,Sudeste,PME,87628.2,Open,2023-08-19,2023-10-04,46
DEAL-0106,Carla Souza,Sudeste,Enterprise,35757.38,Won,2023-09-11,2023-11-06,56
DEAL-0107,Eva Martins,Norte,PME,85589.7,Open,2023-11-02,2024-02-14,104
DEAL-0108,Bruno Costa,Centro-Oeste,Mid-Market,85500.55,Lost,2023-05-04,2023-08-19,107
DEAL-0109,Carla Souza,Norte,Enterprise,7500.27,Lost,2023-12-31,2024-03-17,77
DEAL-0110,Diego Lima,Nordeste,Mid-Market,89325.56,Won,2023-12-21,2024-02-05,46
DEAL-0111,Carla Souza,Centro-Oeste,Enterprise,84806.33,Open,2023-06-26,2023-09-03,69
DEAL-0112,Carla Souza,Sul,Mid-Market,109586.23,Won,2023-06-06,2023-07-23,47
DEAL-0113,Diego Lima,Sudeste,Mid-Market,32773.44,Open,2023-10-02,2024-01-22,112
DEAL-0114,Ana Silva,Norte,Enterprise,46034.81,Lost,2023-10-29,2024-02-18,112
DEAL-0115,Eva Martins,Norte,Enterprise,7051.51,Won,2023-04-27,2023-06-27,61
DEAL-0116,Bruno Costa,Centro-Oeste,PME,106125.52,Lost,2023-01-24,2023-02-14,21
DEAL-0117,Carla Souza,Norte,PME,74413.56,Won,2023-01-07,2023-04-05,88
DEAL-0118,Diego Lima,Sul,Mid-Market,14474.8,Won,2023-05-10,2023-07-25,76
DEAL-0119,Eva Martins,Sudeste,PME,26633.65,Won,2023-11-19,2024-02-29,102
DEAL-0120,Eva Martins,Nordeste,PME,65345.23,Lost,2023-05-08,2023-06-07,30
DEAL-0121,Eva Martins,Centro-Oeste,Enterprise,69194.55,Lost,2023-09-25,2023-11-27,63
DEAL-0122,Ana Silva,Norte,Mid-Market,144215.77,Won,2023-10-19,2024-01-21,94
DEAL-0123,Bruno Costa,Nordeste,PME,27773.28,Open,2023-04-19,2023-06-06,48
DEAL-0124,Diego Lima,Sudeste,PME,104958.81,Lost,2023-03-22,2023-04-06,15
DEAL-0125,Diego Lima,Sul,Mid-Market,106933.2,Open,2023-04-29,2023-06-19,51
DEAL-0126,Bruno Costa,Centro-Oeste,PME,95633.41,Open,2023-04-30,2023-06-17,48
DEAL-0127,Bruno Costa,Sul,PME,136719.66,Lost,2023-10-06,2023-11-18,43
DEAL-0128,Eva Martins,Sudeste,Enterprise,113598.87,Won,2023-03-26,2023-07-20,116
DEAL-0129,Carla Souza,Nordeste,Mid-Market,106461.38,Open,2023-03-05,2023-05-18,74
DEAL-0130,Diego Lima,Sudeste,Mid-Market,10779.81,Won,2023-09-10,2023-11-20,71
DEAL-0131,Eva Martins,Nordeste,PME,144477.11,Won,2023-05-09,2023-05-27,18
DEAL-0132,Bruno Costa,Centro-Oeste,Mid-Market,10833.59,Won,2023-12-11,2024-04-09,120
DEAL-0133,Eva Martins,Centro-Oeste,Mid-Market,31315.93,Open,2023-11-30,2024-02-09,71
DEAL-0134,Carla Souza,Sul,PME,64210.47,Lost,2023-09-09,2023-10-05,26
DEAL-0135,Diego Lima,Nordeste,PME,46791.58,Open,2023-06-18,2023-08-24,67
DEAL-0136,Diego Lima,Nordeste,PME,51874.7,Won,2023-08-21,2023-09-16,26
DEAL-0137,Eva Martins,Sudeste,Mid-Market,12859.59,Lost,2023-12-03,2024-02-25,84
DEAL-0138,Carla Souza,Nordeste,PME,12483.71,Lost,2023-09-13,2023-12-17,95
DEAL-0139,Ana Silva,Nordeste,PME,75283.21,Open,2023-05-28,2023-08-07,71
DEAL-0140,Diego Lima,Sul,PME,6982.8,Won,2023-12-30,2024-02-03,35
DEAL-0141,Bruno Costa,Centro-Oeste,Mid-Market,98917.9,Open,2023-02-28,2023-05-13,74
DEAL-0142,Diego Lima,Centro-Oeste,PME,65246.1,Open,2023-05-30,2023-08-18,80
DEAL-0143,Eva Martins,Nordeste,Mid-Market,32638.5,Won,2023-08-22,2023-11-15,85
DEAL-0144,Diego Lima,Sudeste,Mid-Market,119550.9,Won,2023-03-11,2023-04-03,23
DEAL-0145,Eva Martins,Nordeste,Mid-Market,110277.39,Won,2023-05-17,2023-09-14,120
DEAL-0146,Carla Souza,Nordeste,Mid-Market,75229.5,Lost,2023-09-08,2023-10-12,34
DEAL-0147,Bruno Costa,Nordeste,Enterprise,131092.24,Open,2023-07-13,2023-09-24,73
DEAL-0148,Diego Lima,Centro-Oeste,Enterprise,51135.57,Lost,2023-04-30,2023-08-22,114
DEAL-0149,Diego Lima,Sul,PME,147218.63,Open,2023-12-06,2024-03-31,116
DEAL-0150,Diego Lima,Sul,Mid-Market,19552.87,Won,2023-09-15,2023-12-14,90
DEAL-0151,Bruno Costa,Sul,Enterprise,64446.9,Open,2023-08-22,2023-09-07,16
DEAL-0152,Ana Silva,Sudeste,Mid-Market,62635.08,Lost,2023-05-16,2023-07-13,58
DEAL-0153,Diego Lima,Nordeste,PME,95885.88,Open,2023-10-01,2023-12-03,63
DEAL-0154,Carla Souza,Norte,Mid-Market,104237.94,Won,2023-11-13,2023-12-06,23
DEAL-0155,Ana Silva,Centro-Oeste,PME,115253.61,Open,2023-02-16,2023-04-27,70
DEAL-0156,Ana Silva,Sudeste,Enterprise,11668.69,Open,2023-12-22,2024-02-13,53
DEAL-0157,Eva Martins,Norte,PME,82019.12,Won,2023-07-11,2023-09-19,70
DEAL-0158,Bruno Costa,Centro-Oeste,Mid-Market,60468.92,Lost,2023-03-31,2023-04-25,25
DEAL-0159,Carla Souza,Sul,Enterprise,41826.71,Lost,2023-03-15,2023-04-28,44
DEAL-0160,Carla Souza,Nordeste,Enterprise,15709.98,Lost,2023-05-28,2023-09-06,101
DEAL-0161,Carla Souza,Norte,Enterprise,71241.19,Open,2023-11-24,2024-02-01,69
DEAL-0162,Eva Martins,Sudeste,Mid-Market,87928.79,Won,2023-09-05,2023-10-03,28
DEAL-0163,Carla Souza,Sul,Mid-Market,100443.32,Open,2023-06-01,2023-06-18,17
DEAL-0164,Eva Martins,Centro-Oeste,Enterprise,12111.42,Open,2023-12-18,2024-04-10,114
DEAL-0165,Bruno Costa,Nordeste,Enterprise,36755.66,Open,2023-04-28,2023-07-29,92
DEAL-0166,Bruno Costa,Sul,Mid-Market,100581.32,Open,2023-12-14,2024-04-03,111
DEAL-0167,Eva Martins,Sudeste,Mid-Market,68919.36,Won,2023-11-27,2023-12-17,20
DEAL-0168,Diego Lima,Norte,PME,52374.27,Open,2023-03-09,2023-04-04,26
DEAL-0169,Eva Martins,Nordeste,Enterprise,145865.99,Lost,2023-03-09,2023-07-02,115
DEAL-0170,Carla Souza,Sudeste,PME,141907.23,Open,2023-03-26,2023-05-12,47
DEAL-0171,Diego Lima,Nordeste,Enterprise,145142.53,Won,2023-08-28,2023-09-21,24
DEAL-0172,Ana Silva,Centro-Oeste,Enterprise,43346.49,Lost,2023-02-16,2023-06-12,116
DEAL-0173,Carla Souza,Sul,Mid-Market,89761.21,Open,2023-12-11,2024-03-30,110
DEAL-0174,Eva Martins,Sudeste,Mid-Market,133214.05,Won,2023-04-30,2023-07-14,75
DEAL-0175,Carla Souza,Centro-Oeste,PME,124459.03,Won,2023-04-24,2023-07-30,97
DEAL-0176,Diego Lima,Sul,PME,49132.86,Open,2023-03-13,2023-04-02,20
DEAL-0177,Eva Martins,Centro-Oeste,Mid-Market,70778.34,Won,2023-05-01,2023-07-23,83
DEAL-0178,Eva Martins,Centro-Oeste,Enterprise,125885.5,Open,2023-03-21,2023-05-28,68
DEAL-0179,Bruno Costa,Sudeste,PME,69290.55,Lost,2023-01-17,2023-04-30,103
DEAL-0180,Carla Souza,Sul,Enterprise,146787.17,Lost,2023-12-18,2024-02-18,62
DEAL-0181,Diego Lima,Sul,Mid-Market,142606.56,Open,2023-05-22,2023-06-30,39
DEAL-0182,Ana Silva,Sudeste,PME,145808.53,Lost,2023-04-19,2023-07-25,97
DEAL-0183,Eva Martins,Norte,Mid-Market,14948.47,Lost,2023-03-06,2023-06-29,115
DEAL-0184,Bruno Costa,Nordeste,PME,52641.14,Open,2023-04-21,2023-08-18,119
DEAL-0185,Bruno Costa,Sul,Mid-Market,83331.24,Open,2023-05-22,2023-06-24,33
DEAL-0186,Bruno Costa,Nordeste,Enterprise,119547.78,Won,2023-01-14,2023-02-14,31
DEAL-0187,Diego Lima,Nordeste,PME,23379.99,Won,2023-01-09,2023-02-15,37
DEAL-0188,Eva Martins,Sul,Enterprise,57495.65,Lost,2023-02-02,2023-04-18,75
DEAL-0189,Eva Martins,Sudeste,Enterprise,11287.93,Open,2023-09-15,2023-10-28,43
DEAL-0190,Diego Lima,Centro-Oeste,Mid-Market,74452.38,Won,2023-11-26,2023-12-14,18
DEAL-0191,Ana Silva,Sudeste,Mid-Market,69316.54,Open,2023-02-25,2023-05-13,77
DEAL-0192,Eva Martins,Nordeste,Mid-Market,95526.04,Won,2023-03-17,2023-04-09,23
DEAL-0193,Diego Lima,Nordeste,Mid-Market,81930.74,Open,2023-06-16,2023-08-18,63
DEAL-0194,Eva Martins,Norte,Enterprise,21590.04,Open,2023-08-09,2023-09-05,27
DEAL-0195,Diego Lima,Centro-Oeste,Mid-Market,124975.79,Lost,2023-08-20,2023-10-03,44
DEAL-0196,Carla Souza,Norte,Mid-Market,101440.64,Lost,2023-02-18,2023-04-14,55
DEAL-0197,Diego Lima,Sul,Mid-Market,17377.83,Won,2023-08-31,2023-09-23,23
DEAL-0198,Eva Martins,Nordeste,Enterprise,13697.24,Won,2023-07-10,2023-11-05,118
DEAL-0199,Diego Lima,Sul,Enterprise,131673.07,Lost,2023-12-10,2024-01-09,30
DEAL-0200,Bruno Costa,Norte,Mid-Market,88798.19,Lost,2023-11-04,2023-12-28,54
DEAL-0201,Eva Martins,Sudeste,PME,55766.53,Open,2023-09-04,2023-10-17,43
DEAL-0202,Eva Martins,Nordeste,Mid-Market,67221.3,Won,2023-05-23,2023-08-19,88
DEAL-0203,Carla Souza,Sul,PME,93304.26,Lost,2023-12-12,2024-03-18,97
DEAL-0204,Carla Souza,Sul,PME,138622.94,Open,2023-05-20,2023-09-01,104
DEAL-0205,Ana Silva,Sul,Mid-Market,15089.89,Open,2023-03-15,2023-06-10,87
DEAL-0206,Bruno Costa,Sudeste,Enterprise,70778.64,Lost,2023-09-29,2023-11-10,42
DEAL-0207,Ana Silva,Norte,PME,91452.45,Open,2023-06-16,2023-10-08,114
DEAL-0208,Diego Lima,Centro-Oeste,Mid-Market,44454.91,Open,2023-11-13,2023-12-04,21
DEAL-0209,Ana Silva,Sudeste,Enterprise,114466.76,Won,2023-08-15,2023-10-22,68
DEAL-0210,Eva Martins,Sudeste,PME,91004.47,Open,2023-02-26,2023-04-18,51
DEAL-0211,Bruno Costa,Sudeste,PME,12943.38,Open,2023-04-23,2023-06-27,65
DEAL-0212,Ana Silva,Centro-Oeste,Mid-Market,52577.74,Won,2023-03-12,2023-07-02,112
DEAL-0213,Bruno Costa,Nordeste,Mid-Market,82224.44,Won,2023-08-09,2023-09-15,37
DEAL-0214,Ana Silva,Centro-Oeste,PME,62575.32,Lost,2023-12-09,2024-04-05,118
DEAL-0215,Eva Martins,Centro-Oeste,Mid-Market,88485.08,Open,2023-08-24,2023-09-17,24
DEAL-0216,Carla Souza,Norte,Mid-Market,63729.68,Won,2023-11-24,2024-01-31,68
DEAL-0217,Ana Silva,Norte,Enterprise,17778.83,Open,2023-08-24,2023-12-05,103
DEAL-0218,Carla Souza,Sudeste,PME,62386.17,Lost,2023-10-29,2024-01-03,66
DEAL-0219,Ana Silva,Nordeste,Mid-Market,79020.08,Won,2023-06-20,2023-10-12,114
DEAL-0220,Bruno Costa,Norte,PME,110469.97,Won,2023-04-10,2023-08-02,114
DEAL-0221,Ana Silva,Norte,Mid-Market,92347.85,Won,2023-03-16,2023-05-02,47
DEAL-0222,Diego Lima,Nordeste,Mid-Market,115182.19,Open,2023-09-10,2023-11-23,74
DEAL-0223,Carla Souza,Norte,Enterprise,145791.09,Won,2023-11-22,2024-02-24,94
DEAL-0224,Carla Souza,Nordeste,PME,48908.96,Lost,2023-02-04,2023-04-20,75
DEAL-0225,Ana Silva,Sul,Enterprise,71952.66,Won,2023-06-30,2023-09-17,79
DEAL-0226,Ana Silva,Nordeste,Mid-Market,146718.44,Lost,2023-05-27,2023-06-20,24
DEAL-0227,Ana Silva,Centro-Oeste,Mid-Market,85375.87,Lost,2023-09-17,2023-11-20,64
DEAL-0228,Bruno Costa,Sul,Enterprise,73966.21,Won,2023-11-30,2024-01-08,39
DEAL-0229,Ana Silva,Nordeste,Mid-Market,54798.48,Open,2023-02-22,2023-06-20,118
DEAL-0230,Diego Lima,Nordeste,Mid-Market,68474.95,Won,2023-03-30,2023-04-19,20
DEAL-0231,Diego Lima,Centro-Oeste,Enterprise,138100.83,Lost,2023-11-09,2023-12-14,35
DEAL-0232,Carla Souza,Sul,Enterprise,96478.55,Won,2023-12-14,2024-03-14,91
DEAL-0233,Eva Martins,Norte,Enterprise,46201.31,Open,2023-02-18,2023-05-15,86
DEAL-0234,Carla Souza,Centro-Oeste,PME,137928.24,Open,2023-02-11,2023-05-11,89
DEAL-0235,Diego Lima,Sudeste,PME,49889.37,Open,2023-11-01,2024-02-14,105
DEAL-0236,Eva Martins,Sul,Mid-Market,112122.33,Open,2023-12-10,2024-03-23,104
DEAL-0237,Carla Souza,Norte,PME,7643.43,Lost,2023-12-10,2024-02-17,69
DEAL-0238,Bruno Costa,Norte,PME,37848.74,Lost,2023-06-24,2023-10-15,113
DEAL-0239,Eva Martins,Sul,Mid-Market,116776.83,Won,2023-06-01,2023-09-24,115
DEAL-0240,Bruno Costa,Norte,PME,91600.73,Lost,2023-06-22,2023-10-13,113
DEAL-0241,Diego Lima,Sul,Enterprise,135885.12,Lost,2023-12-21,2024-04-12,113
DEAL-0242,Eva Martins,Sudeste,Mid-Market,145590.35,Open,2023-07-06,2023-10-15,101
DEAL-0243,Diego Lima,Norte,Enterprise,49872.85,Lost,2023-08-18,2023-10-01,44
DEAL-0244,Carla Souza,Centro-Oeste,Mid-Market,71943.6,Open,2023-12-14,2024-03-11,88
DEAL-0245,Eva Martins,Norte,Enterprise,123449.23,Open,2023-09-28,2023-12-05,68
DEAL-0246,Ana Silva,Nordeste,PME,58825.76,Lost,2023-01-27,2023-05-04,97
DEAL-0247,Eva Martins,Norte,Enterprise,44554.74,Open,2023-05-26,2023-06-20,25
DEAL-0248,Ana Silva,Centro-Oeste,PME,133271.32,Open,2023-02-16,2023-03-31,43
DEAL-0249,Ana Silva,Sudeste,PME,60994.09,Lost,2023-07-22,2023-10-09,79
DEAL-0250,Carla Souza,Norte,PME,126680.56,Open,2023-01-15,2023-03-11,55
DEAL-0251,Bruno Costa,Centro-Oeste,Enterprise,73505.97,Open,2023-01-20,2023-03-12,51
DEAL-0252,Bruno Costa,Norte,Mid-Market,7755.56,Open,2023-11-12,2023-11-27,15
DEAL-0253,Bruno Costa,Sudeste,PME,117545.03,Lost,2023-11-08,2024-01-29,82
DEAL-0254,Diego Lima,Sul,PME,120115.37,Lost,2023-01-25,2023-03-11,45
DEAL-0255,Eva Martins,Norte,Mid-Market,96633.47,Lost,2023-09-13,2023-12-13,91
DEAL-0256,Bruno Costa,Nordeste,Enterprise,94147.39,Lost,2023-03-15,2023-05-06,52
DEAL-0257,Carla Souza,Sul,Mid-Market,80905.26,Open,2023-04-06,2023-07-15,100
DEAL-0258,Ana Silva,Centro-Oeste,Enterprise,78605.28,Open,2023-10-06,2023-12-24,79
DEAL-0259,Ana Silva,Sudeste,PME,59128.85,Lost,2023-01-23,2023-04-29,96
DEAL-0260,Eva Martins,Sudeste,PME,96097.26,Open,2023-06-26,2023-08-10,45
DEAL-0261,Bruno Costa,Centro-Oeste,Mid-Market,122958.79,Lost,2023-01-23,2023-03-24,60
DEAL-0262,Diego Lima,Sul,Enterprise,24553.62,Won,2023-09-03,2023-12-07,95
DEAL-0263,Carla Souza,Sudeste,Mid-Market,133439.61,Open,2023-04-14,2023-05-04,20
DEAL-0264,Bruno Costa,Sudeste,Enterprise,41730.5,Lost,2023-07-23,2023-11-19,119
DEAL-0265,Carla Souza,Centro-Oeste,Enterprise,23048.88,Won,2023-01-25,2023-05-03,98
DEAL-0266,Diego Lima,Sudeste,Mid-Market,32088.5,Won,2023-08-14,2023-10-17,64
DEAL-0267,Diego Lima,Nordeste,PME,66552.45,Won,2023-05-17,2023-09-11,117
DEAL-0268,Carla Souza,Sudeste,Enterprise,16609.99,Won,2023-10-07,2023-11-28,52
DEAL-0269,Carla Souza,Centro-Oeste,PME,105015.9,Lost,2023-11-05,2024-02-19,106
DEAL-0270,Ana Silva,Sul,Mid-Market,44810.53,Open,2023-06-30,2023-10-01,93
DEAL-0271,Bruno Costa,Sul,PME,121158.92,Lost,2023-11-23,2024-01-28,66
DEAL-0272,Ana Silva,Norte,Mid-Market,10045.85,Open,2023-11-08,2024-02-17,101
DEAL-0273,Eva Martins,Norte,Mid-Market,87250.47,Lost,2023-07-07,2023-09-06,61
DEAL-0274,Eva Martins,Norte,Mid-Market,115647.25,Lost,2023-08-19,2023-10-20,62
DEAL-0275,Ana Silva,Sul,Mid-Market,45410.02,Won,2023-07-07,2023-09-10,65
